loss_pol_entpen,EpLenMean,loss_pol_surr,loss_ent,ev_tdlam_before,EpRewMean,loss_kl,EpisodesSoFar,EpThisIter,TimestepsSoFar,TimeElapsed,loss_vf_loss
0.0,139.41379310344828,-0.031071719,5.6819487,-0.0022388696670532227,-66.65517241379311,0.011042043,29,29,4096,7.100451946258545,459.59445
0.0,139.91228070175438,-0.037272606,5.6459646,0.22048050165176392,-54.43859649122807,0.01178038,57,28,8192,13.705918312072754,348.5216
0.0,142.0,-0.039155036,5.6518855,0.35075801610946655,-55.24418604651163,0.009742976,86,29,12288,20.285192728042603,254.92453
0.0,143.25,-0.042074528,5.615275,0.43907684087753296,-62.5,0.011200725,114,28,16384,26.92998218536377,223.00485
0.0,146.41,-0.04761421,5.552987,0.4680824875831604,-59.34,0.012674698,141,27,20480,33.470523834228516,200.50557
0.0,149.37,-0.044969484,5.5293474,0.5113434195518494,-59.39,0.013022669,169,28,24576,39.94141602516174,206.20444
0.0,147.15,-0.05138358,5.495362,0.6991760432720184,-57.93,0.015313401,199,30,28672,46.519373178482056,161.80946
0.0,140.11,-0.0508832,5.4607935,0.6376784145832062,-50.31,0.013352825,227,28,32768,53.06443667411804,132.97578
0.0,143.7,-0.050909806,5.427196,0.5633137822151184,-45.3,0.015654154,256,29,36864,59.790777921676636,117.57265
0.0,142.94,-0.053300392,5.38223,0.6669809520244598,-28.99,0.016761422,283,27,40960,66.35299253463745,156.66745
0.0,143.75,-0.055206966,5.376925,0.7005264163017273,-38.04,0.014618548,313,30,45056,72.82555985450745,125.812325
0.0,145.47,-0.052739996,5.351962,0.5704144835472107,-29.38,0.0175321,341,28,49152,79.49406242370605,172.57558
0.0,139.94,-0.050496276,5.3282886,0.6430634260177612,-30.54,0.014435796,370,29,53248,86.00578594207764,197.53444
0.0,136.99,-0.053409245,5.293729,0.6828568279743195,-23.67,0.016931817,401,31,57344,92.52226519584656,135.66292
0.0,144.71,-0.0566336,5.249969,0.5307659804821014,-20.99,0.016174667,428,27,61440,99.08732557296753,190.09038
0.0,147.44,-0.055579238,5.1944065,0.5379763543605804,-17.27,0.018108943,455,27,65536,105.55491161346436,150.73743
0.0,144.16,-0.055157483,5.1440625,0.6028451025485992,-24.14,0.018291613,485,30,69632,112.03899621963501,130.27774
0.0,143.8,-0.057593513,5.1498723,0.5577583611011505,-31.8,0.018042425,515,30,73728,118.70830464363098,154.1297
0.0,142.38,-0.06041728,5.1293306,0.6556339263916016,-37.6,0.020443821,542,27,77824,125.33971309661865,125.645935
0.0,147.34,-0.058657125,5.113514,0.5446933805942535,-38.12,0.016898029,568,26,81920,131.8924012184143,167.88382
