EpThisIter,loss_ent,loss_pol_entpen,EpRewMean,EpLenMean,loss_vf_loss,EpisodesSoFar,loss_kl,TimeElapsed,loss_pol_surr,ev_tdlam_before,TimestepsSoFar
33,5.638084,0.0,-39.303030303030305,119.63636363636364,516.9022,33,0.010192293,8.544623851776123,-0.029653275,0.0023255348205566406,4096
29,5.5935564,0.0,-26.532258064516128,131.82258064516128,419.31638,62,0.01175181,16.63726782798767,-0.036967967,0.17437368631362915,8192
31,5.6017375,0.0,-30.043010752688172,130.89247311827958,352.475,93,0.009572734,24.2852041721344,-0.039109223,0.39432793855667114,12288
31,5.593688,0.0,-22.31,129.73,264.37558,124,0.009738947,31.58082127571106,-0.04230006,0.5706753730773926,16384
31,5.5534945,0.0,-36.15,134.16,288.26855,155,0.012267649,39.36114835739136,-0.0466564,0.5323205888271332,20480
28,5.5410266,0.0,-38.22,134.81,265.95117,183,0.01260135,46.81811165809631,-0.049293224,0.6045074760913849,24576
29,5.522034,0.0,-35.72,139.79,270.3704,212,0.0124748545,54.68903994560242,-0.046944313,0.628337949514389,28672
35,5.506297,0.0,-33.85,133.71,270.53214,247,0.0135065485,61.8349347114563,-0.050050076,0.7203198969364166,32768
34,5.4727283,0.0,-21.18,126.89,256.14316,281,0.014633437,69.41887593269348,-0.049870066,0.6297589242458344,36864
31,5.4381437,0.0,-22.55,120.97,349.81006,312,0.015405514,77.37771725654602,-0.054136354,0.5188039839267731,40960
35,5.412229,0.0,-24.63,122.96,371.5664,347,0.014794971,84.8870861530304,-0.051224615,0.5157004594802856,45056
33,5.353435,0.0,-24.35,122.25,361.9685,380,0.016080948,92.60455346107483,-0.052557927,0.5747096538543701,49152
36,5.338685,0.0,-17.78,119.01,353.99515,416,0.017416596,100.77742791175842,-0.054520916,0.6742539703845978,53248
31,5.2934847,0.0,-14.91,122.17,297.54712,447,0.01594383,108.9348418712616,-0.053969994,0.6682905554771423,57344
33,5.2154818,0.0,-11.81,124.23,306.25568,480,0.017447427,116.28668975830078,-0.055283137,0.7100453078746796,61440
39,5.1832485,0.0,-22.2,119.01,310.56735,519,0.019389987,124.25820994377136,-0.054794934,0.7140016853809357,65536
30,5.138172,0.0,-19.75,118.6,363.81992,549,0.018952064,132.2316551208496,-0.056040008,0.6544138491153717,69632
32,5.133212,0.0,-33.35,122.0,238.07487,581,0.016676025,139.99809551239014,-0.05495657,0.7648894041776657,73728
35,5.063203,0.0,-13.01,126.41,356.66626,616,0.021000521,147.44817280769348,-0.058799002,0.6837737560272217,77824
30,5.0360074,0.0,-23.48,131.18,440.61118,646,0.019965868,154.72985696792603,-0.055994786,0.5269648432731628,81920
33,5.044394,0.0,-19.93,125.38,355.16296,679,0.019471446,162.54519701004028,-0.057300407,0.6086358428001404,86016
32,4.9975586,0.0,-24.54,130.67,326.27972,711,0.019686729,169.88928174972534,-0.061695497,0.7059606313705444,90112
37,4.982197,0.0,-17.75,118.96,299.59274,748,0.020103984,177.18493604660034,-0.059832886,0.6622852385044098,94208
35,4.9826164,0.0,-18.24,112.32,275.79974,783,0.021924606,184.9173231124878,-0.057884175,0.6941650211811066,98304
33,4.9439363,0.0,-20.52,115.08,366.9464,816,0.019359047,192.3928804397583,-0.057730753,0.7224863469600677,102400
35,4.9289064,0.0,-22.19,117.6,287.52255,851,0.022056004,199.83700323104858,-0.059121944,0.7687435001134872,106496
27,4.938038,0.0,-18.67,131.69,328.5685,878,0.022954011,207.1058464050293,-0.059678417,0.6152648627758026,110592
44,4.901095,0.0,-7.51,114.74,394.51694,922,0.024561565,214.27191066741943,-0.057977278,0.7314530909061432,114688
29,4.9023232,0.0,-3.58,121.08,301.23315,951,0.024848895,222.105544090271,-0.05703446,0.7607508599758148,118784
35,4.8887057,0.0,-0.05,116.53,393.83246,986,0.020638458,229.60602474212646,-0.061009616,0.6658961176872253,122880
34,4.8732576,0.0,-0.03,126.35,431.72412,1020,0.022659618,237.02368593215942,-0.06309066,0.6421932578086853,126976
33,4.845508,0.0,10.88,121.48,448.81604,1053,0.02141447,244.12681460380554,-0.060014583,0.6412334442138672,131072
30,4.802823,0.0,2.88,126.36,318.1817,1083,0.024041982,251.3853623867035,-0.06676307,0.6124164462089539,135168
29,4.783519,0.0,3.57,131.49,289.31076,1112,0.02762671,259.40040373802185,-0.06406719,0.6950062811374664,139264
33,4.730085,0.0,4.36,131.56,308.66254,1145,0.026971579,267.0285711288452,-0.064266875,0.6486383974552155,143360
36,4.681262,0.0,9.2,126.76,398.6905,1181,0.022089448,273.8697278499603,-0.06544079,0.6716738343238831,147456
37,4.665845,0.0,12.27,114.68,451.63785,1218,0.02579459,281.6199324131012,-0.0650384,0.5951600968837738,151552
33,4.650418,0.0,10.31,117.02,419.38104,1251,0.022728892,288.50333285331726,-0.065907136,0.5726401507854462,155648
42,4.6478543,0.0,15.98,104.87,310.66916,1293,0.023439461,296.25477504730225,-0.06416463,0.6685877442359924,159744
38,4.6146574,0.0,0.24,100.75,270.16986,1331,0.026511088,304.3289420604706,-0.06616424,0.654513031244278,163840
36,4.607221,0.0,-6.61,110.53,280.59048,1367,0.028669376,311.95446157455444,-0.0677685,0.7227902114391327,167936
34,4.5905633,0.0,-8.26,114.95,397.50317,1401,0.024306,319.60303115844727,-0.060629524,0.6232285797595978,172032
39,4.5844293,0.0,-1.54,113.74,428.85294,1440,0.026805922,326.8263499736786,-0.05859572,0.6944300830364227,176128
32,4.5567594,0.0,-12.08,114.28,413.598,1472,0.025832247,334.0159616470337,-0.06501307,0.7138079702854156,180224
35,4.513171,0.0,-19.96,116.11,511.93896,1507,0.023584835,341.1814353466034,-0.06074583,0.6333591639995575,184320
35,4.51926,0.0,-16.11,119.48,338.71387,1542,0.024443781,348.19337701797485,-0.061779615,0.7242209017276764,188416
38,4.5033536,0.0,-0.83,109.88,384.9617,1580,0.025495969,355.86793518066406,-0.066819,0.685297816991806,192512
36,4.489562,0.0,4.81,111.96,377.29895,1616,0.026680648,363.34725880622864,-0.065147586,0.6792625784873962,196608
45,4.4583025,0.0,9.9,100.94,329.03265,1661,0.024308845,370.7065472602844,-0.06328145,0.7038828730583191,200704
39,4.430087,0.0,-1.93,99.02,336.6501,1700,0.025774403,377.95325207710266,-0.064755194,0.7019915282726288,204800
39,4.3987284,0.0,-5.97,100.96,413.85095,1739,0.030390874,385.4022035598755,-0.06596897,0.6838117837905884,208896
36,4.369663,0.0,-2.83,105.66,484.7392,1775,0.028042868,392.5676519870758,-0.063875884,0.7062916159629822,212992
44,4.3232107,0.0,-9.35,101.27,497.96512,1819,0.029073836,399.8635437488556,-0.06341269,0.6656410694122314,217088
37,4.28011,0.0,4.34,102.19,445.84348,1856,0.03403311,407.1233196258545,-0.064733975,0.6770760118961334,221184
44,4.274733,0.0,11.71,100.24,429.94516,1900,0.028193578,414.43253469467163,-0.061854117,0.682994931936264,225280
40,4.239597,0.0,14.99,99.16,441.42584,1940,0.028973764,422.36366987228394,-0.06933202,0.6381869912147522,229376
37,4.210829,0.0,27.88,101.31,343.4734,1977,0.032220423,429.54494071006775,-0.070260346,0.6864858567714691,233472
37,4.197524,0.0,16.5,107.23,437.12527,2014,0.02773509,436.94671273231506,-0.068191044,0.6920600831508636,237568
39,4.1948247,0.0,7.04,106.84,568.4298,2053,0.027647167,444.40871930122375,-0.06487206,0.5841467082500458,241664
39,4.151397,0.0,5.0,102.2,371.3348,2092,0.029517723,451.95641255378723,-0.06884617,0.704005241394043,245760
40,4.1273994,0.0,4.23,104.23,353.19574,2132,0.034326356,459.23828959465027,-0.06559301,0.7588536590337753,249856
37,4.115251,0.0,13.6,108.33,364.48096,2169,0.035075717,480.52431869506836,-0.064937815,0.7249032855033875,253952
42,4.1084623,0.0,14.06,104.96,436.15125,2211,0.030292341,488.0047981739044,-0.062652454,0.6791467368602753,258048
45,4.0834846,0.0,11.52,94.29,438.60464,2256,0.027655471,495.19834446907043,-0.06696524,0.7164191603660583,262144
50,4.0751066,0.0,9.85,84.85,391.94894,2306,0.030793672,502.7284736633301,-0.06744267,0.7051410675048828,266240
43,4.049014,0.0,6.42,87.95,340.6408,2349,0.030312967,509.7928364276886,-0.06630128,0.7216843664646149,270336
44,3.9963257,0.0,0.28,93.88,464.58905,2393,0.033006527,516.9806122779846,-0.06174229,0.6781844794750214,274432
42,3.970868,0.0,6.01,95.79,582.5319,2435,0.030543268,523.5903935432434,-0.06438054,0.554901510477066,278528
46,3.9533243,0.0,22.56,92.09,471.83066,2481,0.033669133,531.1303381919861,-0.06950005,0.6270215213298798,282624
42,3.9166143,0.0,8.5,93.74,397.62933,2523,0.032174233,538.9795565605164,-0.06764398,0.695020854473114,286720
41,3.8970604,0.0,-0.87,99.64,438.38815,2564,0.03376329,546.5679821968079,-0.07116688,0.6631196737289429,290816
40,3.8911898,0.0,-14.16,99.68,323.2373,2604,0.030573037,554.1104209423065,-0.064152695,0.69136181473732,294912
50,3.886035,0.0,2.72,91.12,496.286,2654,0.02884452,561.20703125,-0.060811307,0.6966926157474518,299008
46,3.8517458,0.0,8.9,85.76,476.22156,2700,0.031148223,569.0534534454346,-0.066922344,0.5530213415622711,303104
42,3.8031197,0.0,-0.7,91.44,415.12708,2742,0.029345274,576.3580722808838,-0.063709654,0.6857891976833344,307200
46,3.7683678,0.0,-12.15,92.36,443.90387,2788,0.030860724,583.6268849372864,-0.06759628,0.5869309604167938,311296
36,3.7402506,0.0,-20.01,97.13,422.11615,2824,0.032918464,591.1674678325653,-0.06797506,0.5779995322227478,315392
41,3.6975741,0.0,-17.09,104.7,354.8468,2865,0.037257843,598.6836843490601,-0.0680725,0.7275583446025848,319488
42,3.6465456,0.0,-11.02,100.65,312.80045,2907,0.039029215,606.4292211532593,-0.06649634,0.7263466417789459,323584
46,3.6338797,0.0,9.42,93.94,466.75812,2953,0.035260193,614.197770357132,-0.05999145,0.7154353559017181,327680
33,3.609898,0.0,0.24,104.55,398.31714,2986,0.038808703,622.1791725158691,-0.06704388,0.7544894367456436,331776
44,3.568696,0.0,22.23,101.32,409.92783,3030,0.037137304,629.52827501297,-0.06646038,0.739719957113266,335872
47,3.5209363,0.0,20.7,93.3,438.60342,3077,0.03674529,636.6607856750488,-0.06794686,0.7327202558517456,339968
42,3.473863,0.0,0.93,92.21,377.55215,3119,0.03900015,644.3810343742371,-0.070860624,0.7235991358757019,344064
45,3.444592,0.0,5.38,92.07,444.2346,3164,0.034975693,652.0643055438995,-0.06793604,0.6548046767711639,348160
37,3.4320726,0.0,20.49,98.4,501.78278,3201,0.03808013,659.8358020782471,-0.065881856,0.7313592731952667,352256
41,3.4109335,0.0,15.19,103.61,548.53436,3242,0.03914512,667.6330707073212,-0.06916569,0.6514976620674133,356352
47,3.3873477,0.0,26.87,92.37,518.7321,3289,0.04027079,675.2139658927917,-0.07098539,0.5765628218650818,360448
42,3.3835607,0.0,39.27,94.76,469.82266,3331,0.03532308,682.9382979869843,-0.069679976,0.6142539083957672,364544
45,3.345458,0.0,32.11,93.35,395.55313,3376,0.039889045,690.7789416313171,-0.07418286,0.7035289704799652,368640
43,3.3159792,0.0,11.59,95.21,462.63364,3419,0.03339839,697.9883518218994,-0.06894904,0.6662188172340393,372736
