EpRewMean,TimestepsSoFar,loss_vf_loss,loss_pol_surr,EpisodesSoFar,EpThisIter,ev_tdlam_before,TimeElapsed,loss_kl,loss_ent,EpLenMean,loss_pol_entpen
114.03571428571429,4096,446.30246,-0.031246461,28,28,0.0012643933296203613,6.863798379898071,0.01118723,5.6259465,143.53571428571428,0.0
112.62068965517241,8192,313.7961,-0.039375562,58,30,0.17265254259109497,13.616211414337158,0.010183597,5.59439,139.98275862068965,0.0
116.51724137931035,12288,254.2908,-0.04326466,87,29,0.3593127727508545,20.64314031600952,0.011750663,5.5508227,139.70114942528735,0.0
117.81,16384,194.805,-0.044077303,116,29,0.5103657245635986,27.599262237548828,0.01242603,5.518119,138.1,0.0
120.41,20480,177.7084,-0.048202854,154,38,0.5663243234157562,34.33342742919922,0.01324557,5.4603076,128.19,0.0
112.56,24576,168.29736,-0.04287094,192,38,0.4698403477668762,41.31577515602112,0.0137307905,5.4210505,115.68,0.0
106.09,28672,120.580864,-0.051175803,236,44,0.6275702714920044,48.13824963569641,0.013995619,5.3603296,101.47,0.0
103.95,32768,112.711205,-0.047284257,287,51,0.5577240288257599,54.899723529815674,0.013693098,5.352683,87.0,0.0
107.7,36864,90.1167,-0.04363283,336,49,0.6648122072219849,61.44372344017029,0.011226411,5.3456736,82.16,0.0
107.61,40960,75.58173,-0.04473924,387,51,0.5844083726406097,68.24587106704712,0.012859959,5.3137727,80.34,0.0
107.91,45056,46.79064,-0.047157295,435,48,0.7218873500823975,74.90542459487915,0.01549271,5.2907214,82.95,0.0
113.24,49152,52.70446,-0.04772986,489,54,0.658563107252121,81.42794060707092,0.014095378,5.267637,81.04,0.0
110.54,53248,49.68313,-0.044276994,545,56,0.6858301758766174,87.80589199066162,0.013645407,5.230777,72.84,0.0
112.07,57344,33.55948,-0.0472431,593,48,0.7883694469928741,94.31158208847046,0.016226113,5.2234993,80.22,0.0
100.74,61440,54.43065,-0.046460867,651,58,0.6209377646446228,100.77014756202698,0.015737183,5.2064943,75.4,0.0
101.34,65536,55.11574,-0.042579424,702,51,0.635686993598938,107.43144512176514,0.013886286,5.205838,74.4,0.0
101.6,69632,48.740906,-0.044922885,753,51,0.6336060166358948,114.18288731575012,0.014833433,5.1711216,78.91,0.0
97.33,73728,60.02174,-0.04215495,807,54,0.4839795231819153,120.70534420013428,0.014076177,5.180714,77.05,0.0
106.24,77824,54.606853,-0.047571138,860,53,0.6608966290950775,127.49930691719055,0.015888074,5.1810274,77.43,0.0
100.8,81920,86.684456,-0.043939423,917,57,0.6680674254894257,134.13069701194763,0.01773327,5.1326485,74.23,0.0
97.51,86016,59.609734,-0.047437377,967,50,0.5288946330547333,140.70625162124634,0.018130431,5.0901494,74.92,0.0
105.34,90112,69.502525,-0.044252865,1020,53,0.5287423133850098,147.30669379234314,0.01823506,5.0462527,79.87,0.0
106.13,94208,84.36558,-0.042805716,1072,52,0.49853646755218506,153.79364109039307,0.016340772,5.016376,77.73,0.0
111.01,98304,45.182796,-0.048580952,1124,52,0.6355296671390533,160.17823767662048,0.018060472,5.0167837,78.65,0.0
68.65,102400,179.69684,-0.04321313,1192,68,0.5188857913017273,212.52691626548767,0.017327797,4.9857492,67.69,0.0
5.11,106496,351.74225,-0.04353164,1266,74,0.6306558847427368,221.10587167739868,0.016017245,4.9799595,54.72,0.0
-1.8,110592,405.15286,-0.044068843,1332,66,0.6583710014820099,229.44143843650818,0.017802782,4.93938,58.91,0.0
10.64,114688,536.56464,-0.045258455,1402,70,0.654496967792511,238.5691318511963,0.016296504,4.905029,58.8,0.0
22.91,118784,448.9608,-0.04849507,1463,61,0.577148973941803,247.33633875846863,0.01752627,4.8579836,64.14,0.0
0.41,122880,451.6167,-0.049263127,1528,65,0.6850224435329437,256.7956511974335,0.02034466,4.853259,64.94,0.0
2.34,126976,336.40115,-0.049455736,1595,67,0.6782653331756592,266.0401887893677,0.01827404,4.8210044,62.39,0.0
-4.51,131072,419.89392,-0.049963772,1653,58,0.6633305251598358,275.1670093536377,0.022545405,4.809783,66.11,0.0
-2.07,135168,307.28165,-0.048595965,1712,59,0.7004695534706116,284.3589131832123,0.019115336,4.794025,71.65,0.0
13.53,139264,434.43542,-0.05110054,1770,58,0.6343027353286743,293.59200859069824,0.019107794,4.7550535,69.66,0.0
11.14,143360,335.79675,-0.046701223,1834,64,0.6915427446365356,302.4299199581146,0.0147346705,4.7398577,69.02,0.0
23.43,147456,335.41513,-0.05731425,1891,57,0.6478496491909027,311.4350335597992,0.020775212,4.694295,68.3,0.0
10.16,151552,348.95404,-0.050930668,1948,57,0.720519632101059,320.4008936882019,0.016857453,4.709137,71.2,0.0
2.8,155648,442.06885,-0.050509173,2008,60,0.6662649512290955,329.2766811847687,0.018261414,4.712554,71.67,0.0
18.73,159744,305.61768,-0.050791156,2065,57,0.706107497215271,338.5775158405304,0.020898746,4.681903,72.19,0.0
12.16,163840,452.7832,-0.052801233,2122,57,0.6571362614631653,347.43212151527405,0.01983103,4.6567388,72.43,0.0
11.32,167936,306.85577,-0.04643809,2186,64,0.6185333430767059,356.65045738220215,0.024846634,4.636292,67.95,0.0
9.8,172032,392.8689,-0.045983523,2248,62,0.7102926969528198,365.8239939212799,0.018817002,4.6287875,65.23,0.0
-7.31,176128,338.89642,-0.054804128,2305,57,0.7084875404834747,375.7862892150879,0.021952905,4.561034,69.93,0.0
6.66,180224,297.67554,-0.04987035,2364,59,0.5890051424503326,385.47237515449524,0.018086778,4.53047,68.49,0.0
7.46,184320,368.2659,-0.04288067,2427,63,0.675688624382019,394.8218824863434,0.025872564,4.509413,67.58,0.0
13.49,188416,333.4508,-0.04970722,2489,62,0.644355446100235,403.9116225242615,0.019857395,4.4599032,64.13,0.0
26.05,192512,342.4079,-0.049830686,2552,63,0.6888898313045502,412.94239711761475,0.02323296,4.4403377,66.02,0.0
1.78,196608,340.61328,-0.048419394,2615,63,0.6445375978946686,421.90932273864746,0.018843321,4.3934603,65.73,0.0
12.18,200704,310.99805,-0.05064946,2685,70,0.6659941971302032,489.62908267974854,0.024627037,4.3453336,62.58,0.0
20.9,204800,363.3641,-0.053964015,2739,54,0.6393212378025055,499.1727890968323,0.022094496,4.3392167,67.59,0.0
30.45,208896,353.89877,-0.057387955,2794,55,0.6038194894790649,508.75759625434875,0.025083715,4.3058505,74.95,0.0
18.05,212992,378.82483,-0.05250376,2849,55,0.53652423620224,518.2345180511475,0.024997376,4.3173327,72.72,0.0
