EpLenMean,TimeElapsed,loss_pol_surr,loss_pol_entpen,TimestepsSoFar,ev_tdlam_before,EpRewMean,EpThisIter,loss_kl,EpisodesSoFar,loss_ent,loss_vf_loss
142.42857142857142,7.515283584594727,-0.007992949,0.0,4096,-0.001178145408630371,123.78571428571429,28,0.0020615468,28,5.6688013,674.4229
142.73684210526315,14.951438903808594,-0.006354385,0.0,8192,0.002198457717895508,124.57894736842105,29,0.0012281135,57,5.6707177,637.6312
133.83516483516485,21.81671953201294,-0.007189099,0.0,12288,0.010010361671447754,124.47252747252747,34,0.0017735135,91,5.6655493,720.59454
133.78,28.82622218132019,-0.007982433,0.0,16384,0.013615608215332031,122.46,29,0.0024213577,120,5.6624346,556.2863
122.06,35.73894381523132,-0.0074133617,0.0,20480,0.008686065673828125,119.73,38,0.0026889562,158,5.660278,728.5817
117.36,42.87601065635681,-0.007394723,0.0,24576,0.03071296215057373,113.55,37,0.0019365473,195,5.6618934,630.20544
108.18,49.275108337402344,-0.008305001,0.0,28672,0.018090128898620605,110.72,40,0.0022111624,235,5.6513453,765.18494
98.5,55.65092921257019,-0.010132078,0.0,32768,0.025037109851837158,105.66,42,0.0033670291,277,5.647308,656.48944
90.65,61.962332248687744,-0.0083600525,0.0,36864,0.015522301197052002,105.72,46,0.0023707119,323,5.6488256,825.3082
88.81,68.35347890853882,-0.01036991,0.0,40960,0.020748555660247803,108.4,48,0.0032261112,371,5.6459956,784.4088
83.93,75.08877372741699,-0.0094610145,0.0,45056,0.017817914485931396,99.25,50,0.0031466805,421,5.640523,761.6921
88.99,81.81050562858582,-0.008830408,0.0,49152,0.028078138828277588,103.17,44,0.0033380836,465,5.6389875,673.3166
85.28,88.61683320999146,-0.010051313,0.0,53248,0.01863759756088257,107.94,52,0.0037369267,517,5.635307,784.0934
82.66,95.70157480239868,-0.008863597,0.0,57344,0.01862943172454834,110.28,47,0.004581965,564,5.6336756,663.312
81.08,102.7645001411438,-0.009758642,0.0,61440,0.06314361095428467,105.07,54,0.0037852586,618,5.6309714,756.52
78.03,109.27639985084534,-0.009289491,0.0,65536,0.004726290702819824,107.77,50,0.0038236403,668,5.631622,721.32117
80.04,115.64922881126404,-0.008980945,0.0,69632,0.11902636289596558,106.94,52,0.0022972708,720,5.638082,698.18494
