loss_pol_surr,EpRewMean,loss_kl,TimeElapsed,ev_tdlam_before,TimestepsSoFar,EpisodesSoFar,loss_ent,EpLenMean,EpThisIter,loss_pol_entpen,loss_vf_loss
-0.0053743077,-57.214285714285715,0.0009772296,7.303999900817871,0.008715152740478516,4096,28,5.6711016,139.75,28,0.0,644.75714
-0.00942375,-35.10526315789474,0.0026753696,14.184218645095825,0.020008563995361328,8192,57,5.6687,142.3859649122807,29,0.0,600.9469
-0.008060605,-32.82954545454545,0.0022698443,21.064655780792236,0.028331995010375977,12288,88,5.668975,138.23863636363637,31,0.0,659.7108
-0.007118256,-36.31,0.0023073505,28.152202129364014,0.05108767747879028,16384,116,5.670626,140.37,28,0.0,653.7463
-0.0077307466,-49.31,0.0016964575,34.993815660476685,0.0564536452293396,20480,144,5.6717124,142.34,28,0.0,659.52484
-0.009118534,-39.5,0.0028247978,41.89153861999512,0.0510140061378479,24576,172,5.662814,142.51,28,0.0,550.44586
-0.010263335,-38.99,0.0028175693,48.76271891593933,0.09039807319641113,28672,199,5.6634545,145.56,27,0.0,511.7576
-0.00987065,-47.76,0.002500068,55.96966361999512,0.1246369481086731,32768,228,5.658671,143.88,29,0.0,551.24994
-0.007752238,-46.77,0.0020767958,62.54524040222168,0.15210014581680298,36864,255,5.657035,147.76,27,0.0,481.54602
-0.008942929,-52.47,0.0027945496,68.86384415626526,0.19054090976715088,40960,287,5.6582255,141.14,32,0.0,541.77277
-0.0067568254,-54.43,0.0016616147,75.16970705986023,0.1682397723197937,45056,318,5.651517,135.68,31,0.0,535.05664
-0.0107068475,-48.74,0.0024870266,81.92342901229858,0.2055010199546814,49152,349,5.6497393,131.9,31,0.0,540.6643
-0.008598835,-57.15,0.0014158774,88.81396174430847,0.24848544597625732,53248,373,5.6458216,136.85,24,0.0,462.6968
-0.009732359,-58.67,0.0033024636,96.01177883148193,0.23348069190979004,57344,401,5.6454477,144.38,28,0.0,494.26135
-0.0105485115,-39.21,0.0033226586,102.85372495651245,0.24331700801849365,61440,426,5.6400747,155.04,25,0.0,503.1427
-0.009112401,-37.61,0.0024914346,109.84915566444397,0.24709171056747437,65536,455,5.6428304,156.62,29,0.0,526.79565
-0.008231098,-28.41,0.0018414175,116.72487950325012,0.312583327293396,69632,483,5.6440454,150.4,28,0.0,543.41754
-0.009841807,-27.48,0.0023692267,123.40740704536438,0.36752158403396606,73728,514,5.63342,137.75,31,0.0,484.85934
-0.012297488,-31.37,0.004321783,130.1223611831665,0.4216850996017456,77824,541,5.634745,137.97,27,0.0,474.18024
-0.009549953,-36.9,0.0022445398,136.86778569221497,0.3963833451271057,81920,569,5.627921,141.95,28,0.0,463.34665
-0.008942439,-40.8,0.001844535,143.39439368247986,0.39982348680496216,86016,596,5.627675,147.46,27,0.0,452.77127
-0.008748288,-59.49,0.002543594,150.17157745361328,0.34711360931396484,90112,623,5.6231775,149.72,27,0.0,394.00708
-0.010081294,-61.82,0.0027535516,156.91458344459534,0.38261866569519043,94208,651,5.6298013,149.29,28,0.0,475.74722
-0.0109990295,-65.38,0.002673803,163.67130041122437,0.42344486713409424,98304,680,5.6309824,149.55,29,0.0,386.55283
-0.009182102,-68.79,0.0026308596,170.31869888305664,0.40532350540161133,102400,701,5.632907,154.71,21,0.0,372.49133
-0.008439749,-50.78,0.0019148252,177.3167371749878,0.4854670763015747,106496,729,5.632205,157.7,28,0.0,454.32092
-0.009998304,-40.25,0.0033743982,183.91194367408752,0.46901917457580566,110592,761,5.626475,149.79,32,0.0,483.06055
-0.00958082,-37.19,0.002002849,191.0542504787445,0.43386298418045044,114688,788,5.6267405,149.32,27,0.0,456.17877
